dialogue_id,total_turns
MUL0001,10
MUL0002,7
MUL0005,9
MUL0006,8
MUL0007,7
MUL0008,14
MUL0009,9
MUL0010,10
MUL0015,9
MUL0017,7
MUL0019,10
MUL0020,11
MUL0022,11
MUL0023,15
MUL0024,11
MUL0025,11
MUL0026,9
MUL0027,6
MUL0028,8
MUL0029,5
MUL0030,4
MUL0031,9
MUL0033,11
MUL0037,9
MUL0038,8
MUL0040,8
MUL0041,4
MUL0042,5
MUL0043,8
MUL0044,13
MUL0045,11
MUL0048,10
MUL0050,10
MUL0052,8
MUL0053,13
MUL0054,6
MUL0056,6
MUL0057,8
MUL0058,7
MUL0059,9
MUL0061,10
MUL0062,10
MUL0063,7
MUL0064,8
MUL0066,9
MUL0067,10
MUL0068,7
MUL0069,16
MUL0070,11
MUL0074,9
MUL0075,9
MUL0076,13
MUL0077,7
MUL0078,9
MUL0079,6
MUL0081,10
MUL0083,10
MUL0084,15
MUL0085,10
MUL0086,12
MUL0087,8
MUL0090,7
MUL0091,8
MUL0092,8
MUL0094,10
MUL0096,8
MUL0097,13
MUL0098,6
MUL0100,8
MUL0101,9
MUL0102,6
MUL0103,7
MUL0104,6
MUL0105,10
MUL0108,7
MUL0109,9
MUL0110,9
MUL0111,10
MUL0112,9
MUL0114,12
MUL0115,10
MUL0117,8
MUL0118,7
MUL0119,8
MUL0120,12
MUL0121,6
MUL0122,8
MUL0123,13
MUL0124,8
MUL0125,12
MUL0127,11
MUL0130,10
MUL0131,9
MUL0132,8
MUL0133,7
MUL0134,9
MUL0136,9
MUL0137,13
MUL0138,11
MUL0139,11
MUL0140,12
MUL0141,10
MUL0143,11
MUL0145,10
MUL0146,8
MUL0147,8
MUL0149,8
MUL0150,7
MUL0151,8
MUL0152,9
MUL0153,5
MUL0155,11
MUL0156,11
MUL0157,12
MUL0158,11
MUL0159,9
MUL0160,12
MUL0161,8
MUL0162,8
MUL0163,12
MUL0164,7
MUL0165,7
MUL0166,6
MUL0167,7
MUL0168,7
MUL0169,11
MUL0170,9
MUL0171,6
MUL0173,10
MUL0174,9
MUL0175,7
MUL0176,14
MUL0179,7
MUL0180,9
MUL0181,7
MUL0183,15
MUL0184,11
MUL0185,9
MUL0186,11
