dialogue_id,total_turns
SNG01856,5
MUL2168,8
MUL2105,9
PMUL1690,11
MUL2395,7
PMUL1170,6
PMUL4899,11
MUL2261,8
SSNG0348,5
MUL0784,12
MUL0886,6
PMUL2512,10
SNG0548,4
MUL1474,8
PMUL4372,8
PMUL4047,8
PMUL0151,7
MUL0586,6
PMUL3552,13
PMUL1539,9
MUL1790,7
PMUL3021,6
SNG0699,4
PMUL3296,6
MUL1434,8
PMUL2203,7
PMUL3250,8
PMUL0510,8
MUL1124,7
PMUL3719,11
SNG0297,4
PMUL2049,9
SNG01722,5
PMUL2100,7
MUL1853,9
MUL2694,10
SNG1006,5
SNG1345,5
MUL1299,9
MUL1490,7
PMUL2749,9
MUL1628,10
PMUL2202,8
SNG01450,5
SNG0984,7
PMUL1419,5
SNG0798,4
MUL0161,8
PMUL2803,5
MUL0925,7
MUL1005,7
SNG1197,3
MUL1265,9
WOZ20259,4
MUL1223,8
PMUL2596,13
MUL2037,9
MUL1497,10
MUL2256,11
MUL0076,13
WOZ20114,2
MUL1100,11
PMUL4469,7
PMUL0263,7
PMUL3597,6
PMUL1454,8
MUL1618,9
PMUL3342,3
PMUL0906,7
PMUL0695,7
PMUL0307,9
PMUL3045,13
MUL1113,11
SNG0385,5
SNG0285,8
SNG1134,3
PMUL2082,6
PMUL3031,6
PMUL1499,5
SNG1097,3
PMUL0608,10
PMUL4191,9
MUL0265,8
PMUL0433,8
WOZ20214,5
MUL1567,9
WOZ20593,4
PMUL4487,8
MUL2535,7
PMUL0552,8
PMUL0621,11
PMUL1229,8
PMUL1169,4
SNG0487,7
PMUL3299,12
PMUL3486,6
SNG0918,3
SSNG0248,5
SNG0914,5
PMUL4501,8
PMUL2349,8
SNG01381,4
PMUL2662,11
SNG01277,9
PMUL1986,8
MUL2534,6
MUL0743,8
PMUL3059,8
MUL2238,8
PMUL2010,8
SNG1061,3
WOZ20664,6
PMUL1815,7
MUL2379,9
PMUL0143,7
MUL0343,12
PMUL3184,7
MUL1052,9
MUL1322,7
WOZ20324,6
PMUL2522,7
WOZ20343,5
PMUL4513,9
SNG1235,5
SNG0359,4
MUL0661,8
SNG01185,10
SNG02298,5
PMUL0148,4
MUL2085,9
MUL2057,9
PMUL4594,5
MUL1541,10
PMUL0224,7
PMUL0240,12
PMUL2922,5
MUL2443,6
MUL0779,7
SNG01611,5
WOZ20299,6
PMUL3482,7
SNG01425,4
WOZ20453,4
PMUL4021,12
PMUL4891,7
PMUL3594,4
MUL1566,6
PMUL1967,9
MUL2575,8
PMUL1296,11
PMUL1729,13
WOZ20531,4
MUL0173,10
SNG0312,5
WOZ20274,5
PMUL1375,9
SNG0524,4
PMUL1013,7
SSNG0379,8
MUL1733,6
MUL1483,11
PMUL2837,7
PMUL0064,6
SSNG0187,5
PMUL1407,9
SSNG0007,4
WOZ20497,5
MUL0855,6
SNG1063,3
MUL1013,9
PMUL0211,8
MUL0203,6
PMUL4678,7
SNG0324,5
PMUL0342,12
WOZ20358,4
SSNG0019,6
PMUL0565,7
WOZ20658,4
MUL1275,6
SNG1322,2
SNG1171,5
SNG0826,4
SNG1155,1
PMUL4183,5
PMUL0241,11
PMUL3254,4
WOZ20481,3
MUL1172,13
MUL1118,10
SNG1248,3
SNG0790,5
MUL2329,12
PMUL4353,8
WOZ20478,3
WOZ20576,6
SNG0464,7
WOZ20406,5
PMUL4967,4
MUL2647,6
WOZ20107,6
MUL1040,5
MUL2345,9
PMUL1919,8
PMUL4352,3
MUL0840,5
SNG1246,3
PMUL1753,5
MUL1674,8
PMUL1033,10
SNG1344,3
MUL0816,7
PMUL3347,11
PMUL3932,7
SSNG0300,9
PMUL3804,8
MUL1403,6
WOZ20224,3
PMUL2529,8
PMUL1239,6
SNG0404,5
MUL0464,6
PMUL0248,6
PMUL1487,8
PMUL1826,11
MUL2342,9
MUL1150,8
PMUL3585,4
SNG02210,4
PMUL0292,8
PMUL4632,12
PMUL0335,8
SNG1334,5
PMUL3777,9
PMUL3040,10
PMUL0776,6
SNG0067,5
SNG1181,3
MUL0329,7
PMUL3265,8
SNG0732,7
PMUL2201,6
SNG0255,4
SNG01268,7
MUL1378,6
PMUL2044,10
