,dialogue_id,round_x,round_y,turn_idx_x,turn_idx_y,total_turns_y
0,MUL0015,0,0,1,9,9
1,MUL0020,1,3,11,9,11
2,MUL0028,4,4,8,5,8
3,MUL0054,0,1,6,6,6
4,MUL0066,3,2,9,7,9
5,MUL0087,2,0,6,7,8
6,MUL0101,0,4,3,9,9
7,MUL0108,2,3,7,6,7
8,MUL0122,2,4,7,8,8
9,MUL0137,1,0,3,7,13
10,MUL0146,4,4,6,8,8
11,MUL0156,0,1,4,10,11
12,MUL0184,4,2,6,8,11
13,MUL0192,3,1,4,1,8
14,MUL0194,4,1,8,10,11
15,MUL0195,1,2,3,8,10
16,MUL0210,3,2,3,9,11
17,MUL0226,3,1,7,8,9
18,MUL0254,1,0,4,5,8
19,MUL0263,0,1,6,3,9
20,MUL0277,1,2,1,3,6
21,MUL0284,4,0,1,5,7
22,MUL0295,0,1,4,3,6
23,MUL0318,0,4,1,7,8
24,MUL0327,0,2,1,3,13
25,MUL0330,3,1,8,8,10
26,MUL0390,4,3,3,5,7
27,MUL0399,3,4,9,9,9
28,MUL0406,0,0,1,5,8
29,MUL0449,4,2,1,5,7
30,MUL0451,1,1,1,6,7
31,MUL0497,1,2,5,7,7
32,MUL0500,1,2,7,5,9
33,MUL0502,4,0,1,6,6
34,MUL0521,1,1,4,3,7
35,MUL0550,0,3,3,4,7
36,MUL0552,3,4,8,8,8
37,MUL0560,2,1,8,8,8
38,MUL0581,4,3,3,6,6
39,MUL0592,2,3,6,7,7
40,MUL0611,0,0,8,9,10
41,MUL0630,3,0,9,8,9
42,MUL0758,2,4,9,5,11
43,MUL0766,1,0,3,7,7
44,MUL0802,4,1,3,8,8
45,MUL0824,3,2,9,7,9
46,MUL0837,3,4,8,7,8
47,MUL0856,4,0,7,8,9
48,MUL0872,0,0,8,8,8
49,MUL0876,1,1,6,7,8
50,MUL0919,1,2,3,3,7
51,MUL0925,3,4,7,7,7
52,MUL0928,4,0,5,5,5
53,MUL0930,2,0,1,8,8
54,MUL0940,4,0,1,5,6
55,MUL0953,4,2,6,6,6
56,MUL0955,0,2,7,6,7
57,MUL0969,1,4,7,7,7
58,MUL1038,0,4,4,12,12
59,MUL1052,1,3,2,4,9
60,MUL1054,0,2,6,6,6
61,MUL1063,3,0,3,4,8
62,MUL1068,4,4,6,8,8
63,MUL1079,1,3,9,5,9
64,MUL1086,3,3,8,2,8
65,MUL1118,2,2,10,3,10
66,MUL1129,3,1,7,1,7
67,MUL1155,1,3,1,7,10
68,MUL1170,4,4,1,4,6
69,MUL1181,4,1,4,7,8
70,MUL1196,4,3,3,3,5
71,MUL1216,0,3,9,7,10
72,MUL1229,4,3,1,9,9
73,MUL1236,2,0,4,9,11
74,MUL1239,2,4,6,7,8
75,MUL1250,1,1,2,8,9
76,MUL1300,3,2,9,9,12
77,MUL1308,4,2,8,5,8
78,MUL1333,2,4,1,9,10
79,MUL1353,3,2,15,19,21
80,MUL1397,1,4,7,8,8
81,MUL1401,4,3,6,4,7
82,MUL1404,3,4,6,8,8
83,MUL1439,3,0,5,4,7
84,MUL1471,1,3,1,8,8
85,MUL1473,1,1,3,6,6
86,MUL1498,2,3,1,7,11
87,MUL1499,1,3,1,6,8
88,MUL1524,0,1,1,6,8
89,MUL1563,0,2,5,6,9
90,MUL1591,0,3,4,7,7
91,MUL1593,1,1,3,8,9
92,MUL1688,1,0,6,9,9
93,MUL1707,4,2,5,3,6
94,MUL1714,0,3,1,4,9
95,MUL1717,0,0,1,5,7
96,MUL1785,1,2,5,6,7
97,MUL1792,2,0,6,6,6
98,MUL1802,3,3,5,5,7
99,MUL1864,0,3,3,4,8
100,MUL1878,1,1,1,6,7
101,MUL1907,3,0,5,6,6
102,MUL1949,0,4,5,5,5
103,MUL1953,1,2,6,8,8
104,MUL1962,4,1,4,6,6
105,MUL1990,3,0,3,5,8
106,MUL2029,3,4,11,10,11
107,MUL2033,3,4,9,9,9
108,MUL2050,0,1,12,10,12
109,MUL2094,3,1,7,4,7
110,MUL2095,2,2,6,6,9
111,MUL2109,0,4,5,4,6
112,MUL2136,1,1,3,6,8
113,MUL2145,1,2,3,4,6
114,MUL2176,2,4,6,4,7
115,MUL2178,3,0,7,5,7
116,MUL2182,2,2,1,5,6
117,MUL2202,2,2,6,9,9
118,MUL2234,0,3,4,4,5
119,MUL2272,0,0,8,9,9
120,MUL2297,0,4,4,6,7
121,MUL2308,3,2,8,8,8
122,MUL2336,3,4,8,8,8
123,MUL2363,2,0,1,8,8
124,MUL2371,0,0,4,3,5
125,MUL2404,1,0,1,5,7
126,MUL2425,2,3,6,6,6
127,MUL2472,0,1,1,5,5
128,MUL2485,4,1,1,8,8
129,MUL2506,3,3,7,6,7
130,MUL2509,3,3,7,8,8
131,MUL2521,3,3,5,8,8
132,MUL2558,2,2,4,8,10
133,MUL2559,4,4,6,6,8
134,MUL2561,0,4,8,8,8
135,MUL2571,3,4,4,4,5
136,MUL2593,0,3,4,5,6
137,MUL2611,2,4,5,4,6
138,MUL2636,0,2,2,9,10
139,MUL2663,4,0,1,2,5
140,MUL2691,2,1,1,12,12
141,PMUL0049,2,1,1,6,7
142,PMUL0050,1,0,2,4,9
143,PMUL0101,0,2,8,7,10
144,PMUL0103,3,4,3,5,5
145,PMUL0126,1,0,5,8,9
146,PMUL0131,2,2,1,6,10
147,PMUL0150,2,3,9,3,9
148,PMUL0151,3,1,3,7,7
149,PMUL0200,2,3,4,9,9
150,PMUL0218,3,1,8,7,9
151,PMUL0234,2,2,6,6,6
152,PMUL0254,1,4,3,9,10
153,PMUL0261,4,1,11,11,11
154,PMUL0292,2,4,1,7,8
155,PMUL0296,4,0,8,12,12
156,PMUL0297,2,4,11,12,12
157,PMUL0305,0,1,6,6,8
158,PMUL0309,1,1,7,9,10
159,PMUL0316,0,2,2,7,8
160,PMUL0324,2,4,10,7,10
161,PMUL0326,3,3,8,6,11
162,PMUL0354,3,3,7,6,10
163,PMUL0370,2,1,2,5,8
164,PMUL0373,0,4,4,12,12
165,PMUL0383,3,0,7,1,7
166,PMUL0384,2,4,6,9,9
167,PMUL0395,0,1,3,10,11
168,PMUL0411,0,0,9,8,9
169,PMUL0437,3,3,9,4,9
170,PMUL0459,3,4,2,3,3
171,PMUL0466,3,0,10,6,10
172,PMUL0478,2,3,7,6,8
173,PMUL0502,2,4,4,5,10
174,PMUL0530,0,2,9,10,10
175,PMUL0542,2,2,6,8,8
176,PMUL0580,4,1,1,5,6
177,PMUL0598,3,2,2,5,10
178,PMUL0608,1,2,6,8,10
179,PMUL0722,1,4,2,4,5
180,PMUL0775,1,3,7,4,7
181,PMUL0800,4,2,2,8,8
182,PMUL0808,2,4,7,6,8
183,PMUL0824,2,2,7,8,8
184,PMUL0834,1,0,5,4,7
185,PMUL0842,2,0,4,9,9
186,PMUL0880,2,3,1,7,7
187,PMUL0885,2,2,5,5,5
188,PMUL0897,2,4,7,9,9
189,PMUL0939,0,3,1,5,7
190,PMUL0952,3,2,3,3,8
191,PMUL0964,0,1,8,8,8
192,PMUL0971,0,0,2,2,3
193,PMUL0981,2,0,3,5,7
194,PMUL1010,1,4,7,7,8
195,PMUL1024,4,3,4,7,7
196,PMUL1044,4,3,3,4,11
197,PMUL1053,4,4,1,7,7
198,PMUL1130,2,4,2,8,9
199,PMUL1161,2,1,2,8,9
200,PMUL1190,1,3,4,4,4
201,PMUL1204,1,0,8,7,8
202,PMUL1287,4,0,1,5,6
203,PMUL1315,0,3,2,5,7
204,PMUL1349,1,4,3,4,5
205,PMUL1381,1,2,9,3,9
206,PMUL1390,2,2,2,4,4
207,PMUL1404,2,1,4,4,4
208,PMUL1475,2,0,4,3,4
209,PMUL1487,0,2,1,8,8
210,PMUL1489,0,2,1,8,8
211,PMUL1527,3,3,7,7,7
212,PMUL1544,0,2,1,8,11
213,PMUL1564,4,0,1,9,13
214,PMUL1567,1,4,5,8,8
215,PMUL1576,4,4,3,7,8
216,PMUL1634,3,2,8,9,9
217,PMUL1638,4,0,7,8,10
218,PMUL1639,0,4,6,7,7
219,PMUL1643,4,0,1,7,8
220,PMUL1646,3,2,11,11,11
221,PMUL1668,1,1,7,7,7
222,PMUL1691,1,3,3,3,7
223,PMUL1702,0,2,1,8,8
224,PMUL1703,1,4,1,7,10
225,PMUL1738,4,3,9,9,9
226,PMUL1746,3,4,7,7,7
227,PMUL1758,3,3,5,5,11
228,PMUL1767,3,3,7,7,8
229,PMUL1850,0,0,2,4,6
230,PMUL1855,2,4,5,5,9
231,PMUL1873,0,4,1,11,12
232,PMUL1913,0,1,5,8,8
233,PMUL1924,4,4,6,6,6
234,PMUL1989,4,3,8,7,9
235,PMUL2010,4,3,8,7,8
236,PMUL2099,3,0,1,3,7
237,PMUL2110,4,1,1,9,9
238,PMUL2137,2,3,1,2,5
239,PMUL2158,3,2,7,9,9
240,PMUL2187,4,0,8,10,11
241,PMUL2203,2,3,2,4,7
242,PMUL2278,3,3,3,5,6
243,PMUL2281,3,3,6,4,9
244,PMUL2290,2,3,1,4,5
245,PMUL2291,2,0,1,8,9
246,PMUL2342,1,2,4,4,7
247,PMUL2349,3,1,6,6,8
248,PMUL2356,0,4,2,4,4
249,PMUL2357,1,3,6,2,8
250,PMUL2369,2,0,1,3,8
251,PMUL2387,0,3,1,7,7
252,PMUL2439,3,0,6,5,6
253,PMUL2451,3,0,1,10,10
254,PMUL2461,0,0,12,12,13
255,PMUL2463,4,4,7,8,8
256,PMUL2465,2,1,1,5,5
257,PMUL2501,0,3,7,6,7
258,PMUL2523,4,2,8,6,8
259,PMUL2524,3,2,2,5,5
260,PMUL2537,0,4,8,9,9
261,PMUL2554,1,4,3,7,8
262,PMUL2583,1,2,5,5,11
263,PMUL2600,1,2,5,5,5
264,PMUL2620,1,2,1,6,7
265,PMUL2631,4,0,3,5,6
266,PMUL2672,0,4,6,7,7
267,PMUL2684,2,4,10,11,11
268,PMUL2690,3,1,2,5,5
269,PMUL2709,4,0,3,2,8
270,PMUL2741,4,1,4,8,8
271,PMUL2752,4,0,2,5,9
272,PMUL2760,0,3,15,15,15
273,PMUL2808,1,0,8,10,11
274,PMUL2814,4,4,5,10,10
275,PMUL2847,4,0,1,3,3
276,PMUL2870,2,3,1,6,8
